heure_aggr,TP_s,date,heure,jour
2018-07-07 06:12:00,478.7462357995,2018-07-07 06:12:00,06:12,2018/07/07
2018-07-07 06:18:00,489.2519393958334,2018-07-07 06:18:00,06:18,2018/07/07
2018-07-07 06:24:00,558.0951665991666,2018-07-07 06:24:00,06:24,2018/07/07
2018-07-07 06:30:00,604.0204421980001,2018-07-07 06:30:00,06:30,2018/07/07
2018-07-07 06:36:00,523.9106939936667,2018-07-07 06:36:00,06:36,2018/07/07
2018-07-07 06:42:00,500.39878799733333,2018-07-07 06:42:00,06:42,2018/07/07
2018-07-07 06:48:00,494.5839623973334,2018-07-07 06:48:00,06:48,2018/07/07
2018-07-07 06:54:00,517.0696031975,2018-07-07 06:54:00,06:54,2018/07/07
2018-07-07 07:00:00,525.1388843966666,2018-07-07 07:00:00,07:00,2018/07/07
2018-07-07 07:06:00,494.2866605973333,2018-07-07 07:06:00,07:06,2018/07/07
2018-07-07 07:12:00,499.4216717955,2018-07-07 07:12:00,07:12,2018/07/07
2018-07-07 07:18:00,505.6626413938333,2018-07-07 07:18:00,07:18,2018/07/07
2018-07-07 07:24:00,491.4266099946667,2018-07-07 07:24:00,07:24,2018/07/07
2018-07-07 07:30:00,469.30043099516666,2018-07-07 07:30:00,07:30,2018/07/07
2018-07-07 07:36:00,496.9567073946667,2018-07-07 07:36:00,07:36,2018/07/07
2018-07-07 07:42:00,516.6735797961666,2018-07-07 07:42:00,07:42,2018/07/07
2018-07-07 07:48:00,501.4753391986667,2018-07-07 07:48:00,07:48,2018/07/07
2018-07-07 07:54:00,474.2839847935,2018-07-07 07:54:00,07:54,2018/07/07
2018-07-07 08:00:00,486.3876713951666,2018-07-07 08:00:00,08:00,2018/07/07
2018-07-07 08:06:00,499.98202499750005,2018-07-07 08:06:00,08:06,2018/07/07
2018-07-07 08:12:00,501.7952537926667,2018-07-07 08:12:00,08:12,2018/07/07
2018-07-07 08:18:00,506.97006599516664,2018-07-07 08:18:00,08:18,2018/07/07
2018-07-07 08:24:00,495.5586839916666,2018-07-07 08:24:00,08:24,2018/07/07
2018-07-07 08:30:00,480.2434085943333,2018-07-07 08:30:00,08:30,2018/07/07
2018-07-07 08:36:00,491.88519059466665,2018-07-07 08:36:00,08:36,2018/07/07
2018-07-07 08:42:00,497.217472792,2018-07-07 08:42:00,08:42,2018/07/07
2018-07-07 08:48:00,496.19199239633326,2018-07-07 08:48:00,08:48,2018/07/07
2018-07-07 08:54:00,493.7835743931667,2018-07-07 08:54:00,08:54,2018/07/07
2018-07-07 09:00:00,509.42798999350003,2018-07-07 09:00:00,09:00,2018/07/07
2018-07-07 09:06:00,518.4600575916667,2018-07-07 09:06:00,09:06,2018/07/07
2018-07-07 09:12:00,491.4375335975001,2018-07-07 09:12:00,09:12,2018/07/07
2018-07-07 09:18:00,507.97717019500004,2018-07-07 09:18:00,09:18,2018/07/07
2018-07-07 09:24:00,503.98426619549997,2018-07-07 09:24:00,09:24,2018/07/07
2018-07-07 09:30:00,519.2109749948334,2018-07-07 09:30:00,09:30,2018/07/07
2018-07-07 09:36:00,510.4094555961667,2018-07-07 09:36:00,09:36,2018/07/07
2018-07-07 09:42:00,509.87437499399994,2018-07-07 09:42:00,09:42,2018/07/07
2018-07-07 09:48:00,520.2884261956666,2018-07-07 09:48:00,09:48,2018/07/07
2018-07-07 09:54:00,529.3449041961667,2018-07-07 09:54:00,09:54,2018/07/07
2018-07-07 10:00:00,519.5544233956666,2018-07-07 10:00:00,10:00,2018/07/07
2018-07-07 10:06:00,532.5677915978333,2018-07-07 10:06:00,10:06,2018/07/07
2018-07-07 10:12:00,536.3635415954999,2018-07-07 10:12:00,10:12,2018/07/07
2018-07-07 10:18:00,532.5835301946667,2018-07-07 10:18:00,10:18,2018/07/07
2018-07-07 10:24:00,543.9453623983333,2018-07-07 10:24:00,10:24,2018/07/07
2018-07-07 10:30:00,530.3398379931667,2018-07-07 10:30:00,10:30,2018/07/07
2018-07-07 10:36:00,517.0487747938333,2018-07-07 10:36:00,10:36,2018/07/07
2018-07-07 10:42:00,511.2304481963333,2018-07-07 10:42:00,10:42,2018/07/07
2018-07-07 10:48:00,543.1313087948333,2018-07-07 10:48:00,10:48,2018/07/07
2018-07-07 10:54:00,538.6804469956667,2018-07-07 10:54:00,10:54,2018/07/07
